"country","state","county","pais","entidad","municipio","var_outcome","var_resultado","population","date","new_cases","cum_cases","time_cases","time_stamp"
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-14,406,5300,55,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-15,531,5831,56,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-16,489,6320,57,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-17,566,6886,58,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-18,592,7478,59,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-19,548,8026,60,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-20,854,8880,61,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-21,564,9444,62,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-22,565,10009,63,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-23,618,10627,64,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-24,671,11298,65,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-25,702,12000,66,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-26,628,12628,67,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-27,775,13403,68,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-28,707,14110,69,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-29,578,14688,70,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-30,795,15483,71,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-01,1165,16648,72,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-02,716,17364,73,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-03,730,18094,74,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-04,932,19026,75,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-05,848,19874,76,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-06,811,20685,77,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-07,855,21540,78,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-08,935,22475,79,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-09,801,23276,80,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-10,1037,24313,81,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-11,830,25143,82,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-12,654,25797,83,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-13,592,26389,84,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-14,531,26920,85,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-15,715,27635,86,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-16,506,28141,87,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-17,396,28537,88,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-18,426,28963,89,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-19,239,29202,90,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-20,177,29379,91,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-21,71,29450,92,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-05-22,21,29471,93,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-02-27,3,3,0,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-02-28,1,4,1,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-02-29,0,4,2,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-01,0,4,3,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-02,2,6,4,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-03,0,6,5,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-04,2,8,6,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-05,1,9,7,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-06,0,9,8,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-07,1,10,9,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-08,3,13,10,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-09,1,14,11,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-10,5,19,12,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-11,14,33,13,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-12,20,53,14,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-13,34,87,15,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-14,25,112,16,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-15,20,132,17,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-16,31,163,18,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-17,41,204,19,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-18,37,241,20,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-19,48,289,21,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-20,30,319,22,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-21,16,335,23,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-22,16,351,24,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-23,36,387,25,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-24,54,441,26,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-25,46,487,27,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-26,73,560,28,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-27,74,634,29,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-28,75,709,30,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-29,52,761,31,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-30,125,886,32,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-03-31,80,966,33,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-01,101,1067,34,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-02,116,1183,35,2020-05-24
